	SAMPLE	CELL	N	SUM	MEAN	MED	N50	MIN	MAX	SD	N_10K	SUM_10K	N_100K	SUM_100K	N_1M	SUM_1M	QV_MEAN	QV_MED	QV_MAX
155	HG02953	HG02953_20211102_UL_eee-prom1-1D-PAI20036_guppy-5.0.11-sup-prom_fastq_pass	1866829	39549900671	21185.6043970819	3149	82449	14	2131105	43573.0387521108	634867	36828936475	99613	16442185269	23	30188238	14.3470317037869	14.2908530736681	58.1731011325548
156	HG02953	HG02953_20210825_UL_eee-prom1-2D-PAH61768_guppy-5.0.11-sup-prom_fastq_pass	1137600	59173064077	52015.7033025668	30132	107938	10	1156070	65430.7529667776	774603	58236602668	188037	31854320093	2	2212583	13.5429720759399	13.5295244189486	58.8937019050917
157	GM21487	GM21487_20211227_UL_eee-prom1-3E-PAJ09825_guppy-5.0.11-sup-prom_fastq_pass	359207	17736218797	49376.0388773047	17605	132019	19	1246799	75467.6220351147	214313	17272946615	57362	10899288862	3	3488748	13.7926444989314	13.6989905126242	60
158	GM21487	GM21487_20211110_UL_eee-prom1-1A-PAI18572_guppy-5.0.11-sup-prom_fastq_pass	17852	95353503	5341.33447232803	423	53788	74	339297	19079.4956301758	1811	81777291	174	25759169	0	0	13.2719248708198	12.995383184266	45.1698609399575
159	GM21487	GM21487_20211111_UL_eee-prom1-1A-PAI18572_guppy-5.0.11-sup-prom_fastq_pass	66152	363113096	5489.07207643004	428	66073	58	1363531	21069.6147279546	6094	315032180	797	118505562	1	1363531	12.5394414846026	12.1932162405022	48.9094585361936
160	GM21487	GM21487_20211220_UL_eee-prom1-1G-PAJ02891_guppy-5.0.11-sup-prom_fastq_pass	558498	37641716525	67398.122329892	30980	157450	28	1315220	92055.4633787574	393096	37056672320	127611	25832724280	16	17448959	15.1017557658416	15.2670545695535	60
161	GM21487	GM21487_20211110-2_UL_eee-prom1-1A-PAI18572_guppy-5.0.11-sup-prom_fastq_pass	286126	3213243689	11230.1702361897	596	68268	40	1929008	29293.7796799081	58533	2959345544	7020	1058956814	1	1929008	13.0881189465268	12.7757773815607	49.8842754261897
162	GM21487	GM21487_20220104_UL_eee-prom1-1E-PAJ02885_guppy-5.0.11-sup-prom_fastq_pass	566679	26965517183	47585.1711162757	19565	120363	22	1060452	72871.8973310152	364853	26217915675	78997	15325176481	1	1060452	15.2702605787189	15.4461773259068	60
163	GM21487	GM21487_20210928_UL_eee-prom1-3B-PAH32438_guppy-5.0.11-sup-prom_fastq_pass	963	57434442	59641.1651090343	37098	110330	42	511397	68735.6785976775	747	56690059	181	31682602	0	0	11.0881695877049	10.8313655733436	22.5796553696033
164	GM21487	GM21487_20211227_UL_eee-prom1-3F-PAJ08016_guppy-5.0.11-sup-prom_fastq_pass	318775	20281335709	63622.7298533448	21598	172907	22	1519027	96017.5363648381	196231	19901688283	69193	14569823032	12	13705799	13.6019416369481	13.4830522068547	60
